match,PSW,win0,confidence0,date
20445,2.85,1,2.037851594388485,2016-07-22
19518,1.41,0,1.9731809139251708,2016-04-16
15396,3.15,1,1.9508765444755554,2013-08-13
18868,1.55,0,1.9143046267032624,2016-01-25
22118,2.7,1,1.8887811720371248,2017-04-18
20581,2.86,1,1.8663678699731825,2016-08-15
14489,2.73,1,1.8516893371939662,2013-05-08
21985,1.36,1,1.8512949476923264,2017-03-24
13540,1.57,0,1.8269567520618437,2013-01-10
18009,1.56,0,1.8209867853671313,2015-08-23
18005,1.62,0,1.7829524755477903,2015-08-22
19697,2.73,1,1.781303083151579,2016-05-03
19668,1.49,0,1.7755930830538271,2016-04-30
18989,2.69,1,1.7755679880082607,2016-02-09
13502,2.29,1,1.755768045783043,2013-01-07
19222,1.54,0,1.7489542578160764,2016-03-10
14034,2.82,1,1.7400974147319794,2013-03-07
21712,1.25,1,1.7299046077047076,2017-02-22
19731,2.92,1,1.729208948761225,2016-05-08
21046,2.94,1,1.7149549606442454,2016-10-18
19326,2.37,1,1.7023032286763193,2016-03-23
18060,2.88,1,1.700408360481262,2015-08-31
22486,2.73,1,1.6962581856250765,2017-05-29
22022,2.52,1,1.6932441415786745,2017-03-28
16598,2.35,1,1.678686536848545,2015-03-12
24310,2.55,1,1.6769745022058484,2018-02-19
21360,1.52,1,1.6746102879941465,2017-01-11
17180,2.8,1,1.6625209918618202,2015-05-19
15097,3.26,1,1.660802120566368,2013-07-15
15726,2.7,1,1.6579959958791737,2013-10-07
22268,2.5,1,1.6517435386776924,2017-05-03
17742,2.53,1,1.6515025070905682,2015-07-27
19364,2.37,1,1.6495141607522967,2016-03-26
16611,2.41,1,1.6481935381889345,2015-03-13
20552,2.33,1,1.646674280524254,2016-08-10
14641,2.4,1,1.6317927718162537,2013-05-27
22354,1.45,0,1.628790233220373,2017-05-13
14376,1.59,0,1.6152575305104255,2013-04-25
17898,1.74,0,1.6076351767778396,2015-08-10
21741,2.46,1,1.6049503169059753,2017-02-24
19613,1.47,0,1.5923596020787956,2016-04-26
20350,2.7,1,1.5856219366192816,2016-07-18
14036,2.53,1,1.5821319241325058,2013-03-07
18691,1.56,0,1.5809929287433624,2016-01-09
